BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	host_age_s	isolate_s	serotype_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s	collected_by_s	collection_date_s	g1k_analysis_group_s	g1k_pop_code_s	geo_loc_name_s	host_s	host_disease_s	isolation_source_s	lat_lon_s	source_s
SAMN03764988	SRX1067371	2013218176	2015-06-22	400	238	2016-03-18	SRR2072247	SRS967363	2013218176	1	65	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764932	SRX1067372	2013218180	2015-06-22	676	359	2016-03-18	SRR2072248	SRS967362	2013218180	3	9	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764959	SRX1067374	2013218240	2015-06-22	205	111	2016-03-18	SRR2072250	SRS967361	2013218240	1	36	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764974	SRX1067376	2013218334	2015-06-22	261	137	2016-03-18	SRR2072252	SRS967360	2013218334	3	51	12F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764997	SRX1067377	2013218341	2015-06-22	186	96	2016-03-18	SRR2072253	SRS967359	2013218341	1	74	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765033	SRX1067378	2013218394	2015-06-22	558	288	2016-03-18	SRR2072254	SRS967358	2013218394	0	110	19F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765007	SRX1067379	2013218407	2015-06-22	328	163	2016-03-18	SRR2072255	SRS967357	2013218407	1	84	15C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764924	SRX1067380	2013218411	2015-06-22	1020	520	2016-03-18	SRR2072256	SRS967356	2013218411	0	1	1	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765072	SRX1067381	2013218429	2015-06-22	388	203	2016-03-18	SRR2072257	SRS967355	2013218429	1	149	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764963	SRX1067382	2013218738	2015-06-22	241	122	2016-03-18	SRR2072258	SRS967354	2013218738	4	40	07F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765091	SRX1067383	2013218743	2015-06-22	314	162	2016-03-18	SRR2072259	SRS967353	2013218743	3	168	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764969	SRX1067384	2013218751	2015-06-22	288	148	2016-03-18	SRR2072260	SRS967351	2013218751	0	46	11A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765054	SRX1067385	2013218759	2015-06-22	307	157	2016-03-18	SRR2072261	SRS967352	2013218759	3	131	23A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764953	SRX1067386	2013218767	2015-06-22	267	140	2016-03-18	SRR2072262	SRS967350	2013218767	1	30	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765101	SRX1067387	2013219289	2015-06-22	325	166	2016-03-18	SRR2072263	SRS967349	2013219289	0	178	35B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764927	SRX1067388	2013219299	2015-06-22	232	121	2016-03-18	SRR2072264	SRS967347	2013219299	1	4	3	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765029	SRX1067389	2013219315	2015-06-22	355	183	2016-03-18	SRR2072265	SRS967348	2013219315	3	106	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765009	SRX1067390	2013219473	2015-06-22	318	155	2016-03-18	SRR2072266	SRS967346	2013219473	4	86	15C	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765073	SRX1067391	2013219479	2015-06-22	476	227	2016-03-18	SRR2072267	SRS967345	2013219479	4	150	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765034	SRX1067392	2013219484	2015-06-22	232	119	2016-03-18	SRR2072268	SRS967344	2013219484	0	111	19F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764971	SRX1067463	2014202157	2015-06-22	159	76	2016-03-18	SRR2072339	SRS967274	2014202157	4	48	11A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765026	SRX1067464	2014202158	2015-06-22	145	68	2016-03-18	SRR2072340	SRS967273	2014202158	0	103	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765077	SRX1067465	2014202160	2015-06-22	318	174	2016-03-18	SRR2072341	SRS967272	2014202160	1	154	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764987	SRX1067466	2014202166	2015-06-22	300	150	2016-03-18	SRR2072342	SRS967271	2014202166	2	64	15B	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764939	SRX1067467	2014202193	2015-06-22	208	103	2016-03-18	SRR2072343	SRS967270	2014202193	1	16	21	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764940	SRX1067469	2014202199	2015-06-22	254	126	2016-03-18	SRR2072345	SRS967269	2014202199	1	17	21	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765002	SRX1067470	2014202234	2015-06-22	670	341	2016-03-18	SRR2072346	SRS967268	2014202234	2	79	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764996	SRX1067471	2014202503	2015-06-22	436	214	2016-03-18	SRR2072347	SRS967267	2014202503	4	73	15BC	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765032	SRX1067472	2014202506	2015-06-22	97	49	2016-03-18	SRR2072348	SRS967266	2014202506	4	109	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765011	SRX1067473	2014202525	2015-06-22	201	105	2016-03-18	SRR2072349	SRS967265	2014202525	1	88	16F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764942	SRX1067474	2014202538	2015-06-22	535	275	2016-03-18	SRR2072350	SRS967264	2014202538	1	19	21	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764946	SRX1067475	2014202550	2015-06-22	201	99	2016-03-18	SRR2072351	SRS967263	2014202550	2	23	34	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765078	SRX1067476	2014202554	2015-06-22	396	200	2016-03-18	SRR2072352	SRS967262	2014202554	1	155	33F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764957	SRX1067477	2014202556	2015-06-22	291	147	2016-03-18	SRR2072353	SRS967261	2014202556	1	34	38	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764941	SRX1067478	2014202558	2015-06-22	227	116	2016-03-18	SRR2072354	SRS967260	2014202558	0	18	21	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765021	SRX1067479	2014202560	2015-06-22	479	251	2016-03-18	SRR2072355	SRS967259	2014202560	2	98	19A	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03765015	SRX1067480	2014202569	2015-06-22	88	42	2016-03-18	SRR2072356	SRS967258	2014202569	0	92	16F	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
SAMN03764948	SRX1067481	2014202576	2015-06-22	411	208	2016-03-18	SRR2072357	SRS967257	2014202576	0	25	34	WGS	<not provided>	PRJNA284954	Pathogen.cl	CDC	public	0	PAIRED	RANDOM	GENOMIC	Streptococcus pneumoniae	ILLUMINA	SRP059723	not applicable	not applicable	<not provided>	<not provided>	not applicable	not applicable	not applicable	not applicable	not applicable	<not provided>
